# .test .cputime .temperature .time_mat1 .time_mat2
335 0.340762  6.331 0.003708 0.005557
336 0.341326  7.305 0.003699 0.005549
337 0.341751  7.792 0.003719 0.005670
338 0.342373  7.305 0.003689 0.005866
339 0.343707  7.305 0.003741 0.005664
340 0.345122  7.792 0.003813 0.005790
341 0.344717  7.305 0.003769 0.005836
342 0.348137  7.305 0.003788 0.005842
343 0.347585  7.792 0.003862 0.005985
344 0.347926  8.279 0.003829 0.006028
345 0.359453  6.331 0.003822 0.006051
346 0.350174  7.792 0.003828 0.006256
347 0.352475  7.792 0.003795 0.006182
348 0.357125  8.279 0.003983 0.006104
349 0.355684  8.279 0.003929 0.006224
350 0.355413  7.792 0.003919 0.006226
351 0.354696  7.792 0.003980 0.006214
352 0.355663  7.305 0.003983 0.006290
353 0.357328  8.279 0.003966 0.006363
354 0.358155  7.305 0.004021 0.006378
355 0.359581  8.279 0.004089 0.006442
356 0.360799  8.279 0.004161 0.006457
357 0.361288  8.279 0.004134 0.006478
358 0.362116  8.279 0.004155 0.006437
359 0.368290  6.818 0.004135 0.006522
360 0.367827  7.305 0.004159 0.006611
361 0.376764  7.305 0.004240 0.006614
362 0.367382  7.792 0.004173 0.006678
363 0.370806  6.818 0.004241 0.006767
364 0.371229  7.305 0.004384 0.006734
365 0.373429  6.818 0.004327 0.006993
366 0.375280  7.792 0.004425 0.006809
367 0.376263  8.766 0.004491 0.006896
368 0.375544  7.792 0.004507 0.006953
369 0.376462  7.792 0.004443 0.007001
370 0.378949  6.818 0.004518 0.007048
371 0.378172  7.305 0.004521 0.008013
372 0.384045  8.766 0.004455 0.007202
373 0.377742  7.305 0.004565 0.007248
374 0.383950  7.305 0.004612 0.007334
375 0.381065  8.279 0.004710 0.008384
376 0.393944  7.792 0.004667 0.007287
377 0.382221  9.253 0.004605 0.007541
378 0.382958  7.792 0.004660 0.007350
379 0.384478  7.792 0.004682 0.007471
380 0.384973  6.818 0.004688 0.007718
381 0.385342  7.792 0.004730 0.007603
382 0.388282  7.792 0.004732 0.007595
383 0.389770  6.818 0.004633 0.007691
384 0.403191  8.766 0.004730 0.007660
385 0.391454  8.766 0.004740 0.007837
386 0.390391  9.253 0.004858 0.007802
387 0.395494  7.792 0.004837 0.007764
388 0.426356  8.766 0.004837 0.008299
389 0.396132  8.279 0.004903 0.007996
390 0.396158  8.766 0.004771 0.008055
391 0.397126  8.766 0.004955 0.007957
392 0.396913  9.740 0.004863 0.008054
393 0.400272  8.766 0.005042 0.008123
394 0.398585  8.279 0.005049 0.008127
395 0.400167  7.792 0.004922 0.008154
396 0.417265  8.279 0.004982 0.008625
397 0.403729  7.792 0.005076 0.008350
398 0.404069  8.766 0.005137 0.008321
399 0.407426  8.766 0.005121 0.008472
400 0.403767  8.766 0.005246 0.008458
401 0.406158  7.792 0.005265 0.008405
402 0.436549  8.766 0.005387 0.009153
403 0.407235  9.253 0.005246 0.008529
404 0.409614  9.253 0.005311 0.008527
405 0.409960  9.253 0.005308 0.008698
406 0.408933  9.740 0.005163 0.008751
407 0.411580  7.792 0.005285 0.008717
408 0.423789  8.766 0.005364 0.008812
409 0.413664  8.766 0.005406 0.008746
410 0.418168  9.740 0.005511 0.008901
411 0.416772  8.279 0.005536 0.008969
412 0.415562  9.253 0.005466 0.008970
413 0.416289  8.279 0.005491 0.009046
414 0.420962  9.253 0.005589 0.009064
415 0.418092  8.279 0.005508 0.009168
416 0.422266 10.227 0.005670 0.009134
417 0.422050  9.253 0.005570 0.009162
418 0.424873  9.253 0.005580 0.009372
419 0.426823  8.766 0.005721 0.009721
420 0.428702  9.253 0.005691 0.009337
421 0.426687  8.766 0.005597 0.009382
422 0.431843  8.279 0.005567 0.009516
423 0.427754  9.253 0.005642 0.009434
424 0.429225  9.253 0.005684 0.009563
425 0.430869  8.766 0.005715 0.009480
426 0.432542  8.279 0.005815 0.009533
427 0.434437  8.279 0.005828 0.009916
428 0.431054  9.253 0.005827 0.009917
429 0.435906  8.766 0.005866 0.009692
430 0.435486  9.253 0.006008 0.009917
431 0.447077  8.766 0.005938 0.009848
432 0.436887  9.253 0.005969 0.010046
433 0.443139  8.766 0.006059 0.010108
434 0.440268  8.766 0.005841 0.009916
435 0.439651  8.279 0.005949 0.010117
436 0.439814  8.279 0.006068 0.010203
437 0.437504  7.792 0.006238 0.010192
438 0.444944 10.227 0.006052 0.010183
439 0.445322  8.766 0.006029 0.010360
440 0.446884  8.279 0.006059 0.010275
441 0.445188  9.740 0.006192 0.011544
442 0.453085 10.227 0.006050 0.010425
443 0.448388 10.227 0.006000 0.010407
444 0.453090 10.227 0.006177 0.010889
445 0.450601  9.740 0.006138 0.010577
446 0.453662 10.227 0.006254 0.010495
447 0.451499  9.740 0.006415 0.010694
448 0.454806  8.766 0.006244 0.010821
449 0.454740  8.766 0.006398 0.010837
450 0.458258  8.279 0.006445 0.010847
451 0.458170  9.253 0.006336 0.010862
452 0.468720  8.766 0.006495 0.010802
453 0.458460 10.714 0.006457 0.010929
454 0.467986  8.766 0.006483 0.011007
455 0.462155  9.740 0.006366 0.010959
456 0.461838  9.740 0.006565 0.011064
457 0.463608  8.766 0.006808 0.011303
458 0.462524  9.253 0.006623 0.011222
459 0.465497  8.766 0.006625 0.011267
460 0.463270  8.766 0.006665 0.011277
461 0.466166  9.740 0.006663 0.011345
462 0.471519  9.253 0.006799 0.011711
463 0.472406  9.253 0.006778 0.011448
464 0.470942  8.766 0.006847 0.011580
465 0.474810  9.740 0.006716 0.011716
466 0.471319 10.227 0.006880 0.011765
467 0.476021  9.740 0.006929 0.011666
468 0.476996 10.227 0.006983 0.011746
469 0.479555  9.253 0.006968 0.011687
470 0.480007  9.740 0.006944 0.011949
471 0.479012  9.740 0.006734 0.011894
472 0.483230  9.740 0.007102 0.011972
473 0.491211  9.740 0.007044 0.012058
474 0.483790  9.253 0.007122 0.011944
475 0.495054  9.253 0.007064 0.012178
476 0.490248  9.740 0.007215 0.012270
477 0.493302  9.740 0.007197 0.012122
478 0.495000  9.253 0.007194 0.012424
479 0.496348 10.227 0.007244 0.012383
480 0.496924  8.766 0.007164 0.012333
481 0.495528  9.740 0.007282 0.012286
482 0.518882  8.766 0.007309 0.012766
483 0.498436  9.253 0.007379 0.012436
484 0.511439  9.253 0.007346 0.012734
485 0.504055  9.740 0.007174 0.012741
486 0.504848  9.253 0.007433 0.012680
487 0.507909  9.253 0.007283 0.012710
488 0.506145  9.253 0.007281 0.012974
489 0.509244  9.253 0.007370 0.012916
490 0.508687  8.766 0.007329 0.012939
491 0.512900 10.227 0.007443 0.012927
492 0.519905 10.227 0.007375 0.013085
493 0.517877  9.740 0.007435 0.013081
494 0.519556 10.227 0.007503 0.013171
495 0.517889 10.714 0.007563 0.013192
496 0.520348 10.227 0.007515 0.013294
497 0.517462  9.253 0.007650 0.013266
498 0.523064  9.740 0.007839 0.013384
499 0.522379 10.227 0.007674 0.013356
500 0.527342  9.740 0.007587 0.013512
